Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
1840,Market year,2029/30,291,Million bushels,Ending Stocks,Soybeans,Crops
1841,Market year,2029/30,15,Million bushels,Imports,Soybeans,Crops
1842,Market year,2029/30,4905,Million bushels,Production,Soybeans,Crops
1843,Market year,2029/30,5214,Million bushels,Total supply,Soybeans,Crops
1844,Market year,2029/30,2435,Million bushels,Crush,Soybeans,Crops
1845,Market year,2029/30,142,Million bushels,Seed and residual,Soybeans,Crops
1846,Market year,2029/30,4922,Million bushels,Total use,Soybeans,Crops
1847,Market year,2029/30,2345,Million bushels,Exports,Soybeans,Crops
1848,Market year,2029/30,377,Dollars per acre,Net returns,Soybeans,Crops
1849,Market year,2029/30,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
1850,Market year,2029/30,2.64,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
1851,Market year,2029/30,9.8,Dollars per bushel,Farm price,Soybeans,Crops
1852,Market year,2029/30,5.9,Percent,"Stocks/use ratio, percent",Soybeans,Crops
1853,Market year,2029/30,162,Dollars,Variable cost of production (per acre),Soybeans,Crops
1854,Market year,2029/30,2.95,Dollars,Variable cost of production (per bushel),Soybeans,Crops
1855,Market year,2029/30,55,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
1856,Market year,2029/30,10.8,Million acres,Harvested acres,Upland Cotton,Crops
1857,Market year,2029/30,12.7,Million acres,Planted acres,Upland Cotton,Crops
1858,Market year,2029/30,6075,Thousand bales,Beginning stocks,Upland Cotton,Crops
1859,Market year,2029/30,6000,Thousand bales,Ending stocks,Upland Cotton,Crops
1860,Market year,2029/30,5,Thousand bales,Imports,Upland Cotton,Crops
1861,Market year,2029/30,20000,Thousand bales,Production,Upland Cotton,Crops
1862,Market year,2029/30,26080,Thousand bales,Total supply,Upland Cotton,Crops
1863,Market year,2029/30,3000,Thousand bales,Domestic use,Upland Cotton,Crops
1864,Market year,2029/30,20025,Thousand bales,Total use,Upland Cotton,Crops
1865,Market year,2029/30,17025,Thousand bales,Exports,Upland Cotton,Crops
1866,Market year,2029/30,246,Dollars per acre,Net returns,Upland Cotton,Crops
1867,Market year,2029/30,30,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
1868,Market year,2029/30,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
1869,Market year,2029/30,0.69,Dollars per pound,Farm price,Upland Cotton,Crops
1870,Market year,2029/30,479,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
1871,Market year,2029/30,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
1872,Market year,2029/30,890,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
1873,Market year,2029/30,37.3,Million acres,Harvested acres,Wheat,Crops
1874,Market year,2029/30,44.5,Million acres,Planted acres,Wheat,Crops
1875,Market year,2029/30,701,Million bushels,Beginning stocks,Wheat,Crops
1876,Market year,2029/30,709,Million bushels,Ending stocks,Wheat,Crops
1877,Market year,2029/30,130,Million bushels,Imports,Wheat,Crops
1878,Market year,2029/30,1955,Million bushels,Production,Wheat,Crops
1879,Market year,2029/30,2786,Million bushels,Total supply,Wheat,Crops
1880,Market year,2029/30,1127,Million bushels,Domestic use,Wheat,Crops
1881,Market year,2029/30,977,Million bushels,Food,Wheat,Crops
1882,Market year,2029/30,90,Million bushels,Feed & residual,Wheat,Crops
1883,Market year,2029/30,60,Million bushels,Seed,Wheat,Crops
1884,Market year,2029/30,2077,Million bushels,Total use,Wheat,Crops
1885,Market year,2029/30,950,Million bushels,Exports,Wheat,Crops
1886,Market year,2029/30,133,Dollars per acre,Net returns,Wheat,Crops
1887,Market year,2029/30,3.38,Dollars per bushel,Loan rate,Wheat,Crops
1888,Market year,2029/30,5.1,Dollars per bushel,Farm price,Wheat,Crops
1889,Market year,2029/30,34.1,Percent,"Stocks/use ratio, percent",Wheat,Crops
1890,Market year,2029/30,135,Dollars,Variable cost of production (per acre),Wheat,Crops
1891,Market year,2029/30,2.57,Dollars,Variable cost of production (per bushel),Wheat,Crops
1892,Market year,2029/30,52.4,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
1893,Market year,2030/31,2.2,Million acres,Harvested acres,Barley,Crops
1894,Market year,2030/31,2.6,Million acres,Planted acres,Barley,Crops
1895,Market year,2030/31,86,Million bushels,Beginning stocks,Barley,Crops
1896,Market year,2030/31,86,Million bushels,Ending stocks,Barley,Crops
1897,Market year,2030/31,10,Million bushels,Imports,Barley,Crops
1898,Market year,2030/31,183,Million bushels,Production,Barley,Crops
1899,Market year,2030/31,279,Million bushels,Total supply,Barley,Crops
1900,Market year,2030/31,188,Million bushels,Domestic use,Barley,Crops
1901,Market year,2030/31,143,Million bushels,"Food, seed, & industrial",Barley,Crops
1902,Market year,2030/31,45,Million bushels,Feed & residual,Barley,Crops
1903,Market year,2030/31,193,Million bushels,Total use,Barley,Crops
1904,Market year,2030/31,5,Million bushels,Exports,Barley,Crops
1905,Market year,2030/31,193,Dollars per acre,Net returns,Barley,Crops
1906,Market year,2030/31,2.5,Dollars per bushel,Loan rate,Barley,Crops
1907,Market year,2030/31,4.5,Dollars per bushel,Farm price,Barley,Crops
1908,Market year,2030/31,44.6,Percent,"Stocks/use ratio, percent",Barley,Crops
1909,Market year,2030/31,183,Dollars,Variable cost of production (per acre),Barley,Crops
1910,Market year,2030/31,2.19,Dollars,Variable cost of production (per bushel),Barley,Crops
1911,Market year,2030/31,83.4,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
1912,Market year,2030/31,81.5,Million acres,Harvested acres,Corn,Crops
1913,Market year,2030/31,89,Million acres,Planted acres,Corn,Crops
1914,Market year,2030/31,2847,Million bushels,Beginning stocks,Corn,Crops
1915,Market year,2030/31,2877,Million bushels,Ending stocks,Corn,Crops
1916,Market year,2030/31,25,Million bushels,Imports,Corn,Crops
1917,Market year,2030/31,16180,Million bushels,Production,Corn,Crops
1918,Market year,2030/31,19052,Million bushels,Total supply,Corn,Crops
1919,Market year,2030/31,13400,Million bushels,Domestic use,Corn,Crops
1920,Market year,2030/31,5150,Million bushels,Ethanol and by-products,Corn,Crops
1921,Market year,2030/31,6550,Million bushels,"Food, seed, & industrial",Corn,Crops
1922,Market year,2030/31,6850,Million bushels,Feed & residual,Corn,Crops
1923,Market year,2030/31,16175,Million bushels,Total use,Corn,Crops
1924,Market year,2030/31,2775,Million bushels,Exports,Corn,Crops
1925,Market year,2030/31,372,Dollars per acre,Net returns,Corn,Crops
1926,Market year,2030/31,2.2,Dollars per bushel,Loan rate,Corn,Crops
1927,Market year,2030/31,3.55,Dollars per bushel,Farm price,Corn,Crops
1928,Market year,2030/31,17.8,Percent,"Stocks/use ratio, percent",Corn,Crops
1929,Market year,2030/31,333,Dollars,Variable cost of production (per acre),Corn,Crops
1930,Market year,2030/31,1.68,Dollars,Variable cost of production (per bushel),Corn,Crops
1931,Market year,2030/31,198.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
1932,Market year,2030/31,1,Million acres,Harvested acres,Oats,Crops
1933,Market year,2030/31,2.7,Million acres,Planted acres,Oats,Crops
1934,Market year,2030/31,38,Million bushels,Beginning stocks,Oats,Crops
1935,Market year,2030/31,40,Million bushels,Ending stocks,Oats,Crops
1936,Market year,2030/31,95,Million bushels,Imports,Oats,Crops
1937,Market year,2030/31,69,Million bushels,Production,Oats,Crops
1938,Market year,2030/31,202,Million bushels,Total supply,Oats,Crops
1939,Market year,2030/31,160,Million bushels,Domestic use,Oats,Crops
1940,Market year,2030/31,85,Million bushels,"Food, seed, & industrial",Oats,Crops
1941,Market year,2030/31,75,Million bushels,Feed & residual,Oats,Crops
1942,Market year,2030/31,162,Million bushels,Total use,Oats,Crops
1943,Market year,2030/31,2,Million bushels,Exports,Oats,Crops
1944,Market year,2030/31,50,Dollars per acre,Net returns,Oats,Crops
1945,Market year,2030/31,2,Dollars per bushel,Loan rate,Oats,Crops
1946,Market year,2030/31,2.65,Dollars per bushel,Farm price,Oats,Crops
1947,Market year,2030/31,24.7,Percent,"Stocks/use ratio, percent",Oats,Crops
1948,Market year,2030/31,133,Dollars,Variable cost of production (per acre),Oats,Crops
1949,Market year,2030/31,1.92,Dollars,Variable cost of production (per bushel),Oats,Crops
1950,Market year,2030/31,69.3,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
1951,Market year,2030/31,2650,Thousand acres,Harvested acres,Rice,Crops
1952,Market year,2030/31,2700,Thousand acres,Planted acres,Rice,Crops
1953,Market year,2030/31,487,Dollars per acre,Net returns,Rice,Crops
1954,Market year,2030/31,16.3,Percent,"Stocks/use ratio, percent",Rice,Crops
1955,Market year,2030/31,7,Dollars per hundredweight,Loan rate,Rice,Crops
1956,Market year,2030/31,13.5,Dollars per hundredweight,Farm price,Rice,Crops
1957,Market year,2030/31,581,Dollars,Variable cost of production (per acre),Rice,Crops
1958,Market year,2030/31,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
1959,Market year,2030/31,41.4,Million hundredweight,Beginning stocks,Rice,Crops
1960,Market year,2030/31,41.8,Million hundredweight,Ending stocks,Rice,Crops
1961,Market year,2030/31,70,Million hundredweight,"Milling rate, percent",Rice,Crops
1962,Market year,2030/31,47.3,Million hundredweight,Imports,Rice,Crops
1963,Market year,2030/31,209.8,Million hundredweight,Production,Rice,Crops
1964,Market year,2030/31,298.5,Million hundredweight,Total supply,Rice,Crops
1965,Market year,2030/31,154.7,Million hundredweight,Domestic use & residual,Rice,Crops
1966,Market year,2030/31,256.7,Million hundredweight,Total use,Rice,Crops
1967,Market year,2030/31,102,Million hundredweight,Exports,Rice,Crops
1968,Market year,2030/31,7917,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
1969,Market year,2030/31,6.2,Million acres,Harvested acres,Sorghum,Crops
1970,Market year,2030/31,7,Million acres,Planted acres,Sorghum,Crops
1971,Market year,2030/31,33,Million bushels,Beginning stocks,Sorghum,Crops
1972,Market year,2030/31,30,Million bushels,Ending stocks,Sorghum,Crops
1973,Market year,2030/31,0,Million bushels,Imports,Sorghum,Crops
1974,Market year,2030/31,427,Million bushels,Production,Sorghum,Crops
1975,Market year,2030/31,460,Million bushels,Total supply,Sorghum,Crops
1976,Market year,2030/31,105,Million bushels,Domestic use,Sorghum,Crops
1977,Market year,2030/31,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
1978,Market year,2030/31,65,Million bushels,Feed & residual,Sorghum,Crops
1979,Market year,2030/31,430,Million bushels,Total use,Sorghum,Crops
1980,Market year,2030/31,325,Million bushels,Exports,Sorghum,Crops
1981,Market year,2030/31,121,Dollars per acre,Net returns,Sorghum,Crops
1982,Market year,2030/31,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
1983,Market year,2030/31,3.7,Dollars per bushel,Farm price,Sorghum,Crops
1984,Market year,2030/31,7,Percent,"Stocks/use ratio, percent",Sorghum,Crops
1985,Market year,2030/31,134,Dollars,Variable cost of production (per acre),Sorghum,Crops
1986,Market year,2030/31,1.94,Dollars,Variable cost of production (per bushel),Sorghum,Crops
1987,Market year,2030/31,69,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
1988,Market year,2030/31,355,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
1989,Market year,2030/31,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
1990,Market year,2030/31,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
1991,Market year,2030/31,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
1992,Market year,2030/31,58425,Thousand short tons,Total use,Soybean meal,Crops
1993,Market year,2030/31,400,Thousand short tons,Imports,Soybean meal,Crops
1994,Market year,2030/31,58025,Thousand short tons,Production,Soybean meal,Crops
1995,Market year,2030/31,58825,Thousand short tons,Total supply,Soybean meal,Crops
1996,Market year,2030/31,43425,Thousand short tons,Domestic use,Soybean meal,Crops
1997,Market year,2030/31,15000,Thousand short tons,Exports,Soybean meal,Crops
1998,Market year,2030/31,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
1999,Market year,2030/31,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
2000,Market year,2030/31,1925,Million pounds,Beginning stocks,Soybean oil,Crops
2001,Market year,2030/31,1920,Million pounds,Ending Stocks,Soybean oil,Crops
2002,Market year,2030/31,29000,Million pounds,Total use,Soybean oil,Crops
2003,Market year,2030/31,350,Million pounds,Imports,Soybean oil,Crops
2004,Market year,2030/31,28645,Million pounds,Production,Soybean oil,Crops
2005,Market year,2030/31,30920,Million pounds,Total supply,Soybean oil,Crops
2006,Market year,2030/31,26050,Million pounds,Domestic use,Soybean oil,Crops
2007,Market year,2030/31,8600,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
2008,Market year,2030/31,2950,Million pounds,Exports,Soybean oil,Crops
2009,Market year,2030/31,89.2,Million acres,Harvested acres,Soybeans,Crops
2010,Market year,2030/31,90,Million acres,Planted acres,Soybeans,Crops
2011,Market year,2030/31,291,Million bushels,Beginning stocks,Soybeans,Crops
2012,Market year,2030/31,284,Million bushels,Ending Stocks,Soybeans,Crops
2013,Market year,2030/31,15,Million bushels,Imports,Soybeans,Crops
2014,Market year,2030/31,4955,Million bushels,Production,Soybeans,Crops
2015,Market year,2030/31,5261,Million bushels,Total supply,Soybeans,Crops
2016,Market year,2030/31,2460,Million bushels,Crush,Soybeans,Crops
2017,Market year,2030/31,143,Million bushels,Seed and residual,Soybeans,Crops
2018,Market year,2030/31,4978,Million bushels,Total use,Soybeans,Crops
2019,Market year,2030/31,2375,Million bushels,Exports,Soybeans,Crops
2020,Market year,2030/31,388,Dollars per acre,Net returns,Soybeans,Crops
2021,Market year,2030/31,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
2022,Market year,2030/31,2.69,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
2023,Market year,2030/31,9.9,Dollars per bushel,Farm price,Soybeans,Crops
2024,Market year,2030/31,5.7,Percent,"Stocks/use ratio, percent",Soybeans,Crops
2025,Market year,2030/31,162,Dollars,Variable cost of production (per acre),Soybeans,Crops
2026,Market year,2030/31,2.91,Dollars,Variable cost of production (per bushel),Soybeans,Crops
2027,Market year,2030/31,55.5,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
2028,Market year,2030/31,10.9,Million acres,Harvested acres,Upland Cotton,Crops
2029,Market year,2030/31,12.8,Million acres,Planted acres,Upland Cotton,Crops
2030,Market year,2030/31,6000,Thousand bales,Beginning stocks,Upland Cotton,Crops
2031,Market year,2030/31,5900,Thousand bales,Ending stocks,Upland Cotton,Crops
2032,Market year,2030/31,5,Thousand bales,Imports,Upland Cotton,Crops
2033,Market year,2030/31,20300,Thousand bales,Production,Upland Cotton,Crops
2034,Market year,2030/31,26305,Thousand bales,Total supply,Upland Cotton,Crops
2035,Market year,2030/31,3000,Thousand bales,Domestic use,Upland Cotton,Crops
2036,Market year,2030/31,20350,Thousand bales,Total use,Upland Cotton,Crops
2037,Market year,2030/31,17350,Thousand bales,Exports,Upland Cotton,Crops
2038,Market year,2030/31,253,Dollars per acre,Net returns,Upland Cotton,Crops
2039,Market year,2030/31,29,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
2040,Market year,2030/31,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
2041,Market year,2030/31,0.695,Dollars per pound,Farm price,Upland Cotton,Crops
2042,Market year,2030/31,482,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
2043,Market year,2030/31,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
2044,Market year,2030/31,895,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
2045,Market year,2030/31,37.3,Million acres,Harvested acres,Wheat,Crops
2046,Market year,2030/31,44.5,Million acres,Planted acres,Wheat,Crops
2047,Market year,2030/31,709,Million bushels,Beginning stocks,Wheat,Crops
2048,Market year,2030/31,720,Million bushels,Ending stocks,Wheat,Crops
2049,Market year,2030/31,130,Million bushels,Imports,Wheat,Crops
2050,Market year,2030/31,1969,Million bushels,Production,Wheat,Crops
2051,Market year,2030/31,2808,Million bushels,Total supply,Wheat,Crops
2052,Market year,2030/31,1138,Million bushels,Domestic use,Wheat,Crops
2053,Market year,2030/31,979,Million bushels,Food,Wheat,Crops
2054,Market year,2030/31,100,Million bushels,Feed & residual,Wheat,Crops
